group,agent,metric,setting,numerator,denominator,value,unit,source_artifact
G1,Composite Rule,teh_at_10,full,6,6,100.0,percent,archive:single_7/metrics_by_case_agent.csv
G1,Composite Rule,teh_at_10,masked,3,6,50.0,percent,archive:observation_ablation/g1_rule/per_case.csv
G1,Qwen low,teh_at_10,full,5,6,83.3,percent,archive:single_7/metrics_by_case_agent.csv
G1,Qwen low,teh_at_10,masked,1,6,16.7,percent,archive:observation_ablation/g1_qwen/per_case.csv
G2,Composite Rule,teh_at_10,full,6,6,100.0,percent,archive:single_7/metrics_by_case_agent.csv
G2,Composite Rule,teh_at_10,masked,0,6,0.0,percent,archive:observation_ablation/g2_rule_fault/per_case.csv;archive:observation_ablation/g2_rule_staggered/per_case.csv
G2,Qwen low,teh_at_10,full,3,6,50.0,percent,archive:single_7/metrics_by_case_agent.csv
G2,Qwen low,teh_at_10,masked,0,6,0.0,percent,archive:observation_ablation/g2_qwen_fault/per_case.csv;archive:observation_ablation/g2_qwen_staggered/per_case.csv
G3,Composite Rule,teh_at_10,full,6,6,100.0,percent,archive:single_7/metrics_by_case_agent.csv
G3,Composite Rule,teh_at_10,masked,0,6,0.0,percent,archive:observation_ablation/g3_rule/per_case.csv
G3,Qwen low,teh_at_10,full,6,6,100.0,percent,archive:single_7/metrics_by_case_agent.csv
G3,Qwen low,teh_at_10,masked,0,6,0.0,percent,archive:observation_ablation/g3_qwen/per_case.csv
G4,Composite Rule,teh_at_10,full,6,6,100.0,percent,archive:single_7/metrics_by_case_agent.csv
G4,Composite Rule,teh_at_10,masked,0,6,0.0,percent,archive:observation_ablation/g4_rule/per_case.csv
G4,Qwen low,teh_at_10,full,3,6,50.0,percent,archive:single_7/metrics_by_case_agent.csv
G4,Qwen low,teh_at_10,masked,0,6,0.0,percent,archive:observation_ablation/g4_qwen/per_case.csv
G5,Composite Rule,ever_exact,full,6,6,100.0,percent,archive:g5_retention/summary.csv
G5,Composite Rule,teh_at_10,full,6,6,100.0,percent,archive:g5_retention/summary.csv
G5,Composite Rule,ended_correct,full,6,6,100.0,percent,archive:g5_retention/summary.csv
G5,Composite Rule,post_hit_retention,full,,,100.0,percent,archive:g5_retention/summary.csv
G5,Composite Rule,first_regression_delay,full,,,NR,rounds,archive:g5_retention/summary.csv
G5,Composite Rule,hit_to_end_without_regression,full,6,6,100.0,percent,archive:g5_retention/summary.csv
G5,Composite Rule,regressions,full,,,0,count,archive:g5_retention/summary.csv
G5,Composite Rule,ever_exact,masked,6,6,100.0,percent,archive:g5_retention/summary.csv
G5,Composite Rule,teh_at_10,masked,6,6,100.0,percent,archive:g5_retention/summary.csv
G5,Composite Rule,ended_correct,masked,6,6,100.0,percent,archive:g5_retention/summary.csv
G5,Composite Rule,post_hit_retention,masked,,,100.0,percent,archive:g5_retention/summary.csv
G5,Composite Rule,first_regression_delay,masked,,,NR,rounds,archive:g5_retention/summary.csv
G5,Composite Rule,hit_to_end_without_regression,masked,6,6,100.0,percent,archive:g5_retention/summary.csv
G5,Composite Rule,regressions,masked,,,0,count,archive:g5_retention/summary.csv
G5,Qwen low,ever_exact,full,3,6,50.0,percent,archive:g5_retention/summary.csv
G5,Qwen low,teh_at_10,full,2,6,33.3,percent,archive:g5_retention/summary.csv
G5,Qwen low,ended_correct,full,0,6,0.0,percent,archive:g5_retention/summary.csv
G5,Qwen low,post_hit_retention,full,,,15.5,percent,archive:g5_retention/summary.csv
G5,Qwen low,first_regression_delay,full,,,3,rounds,archive:g5_retention/summary.csv
G5,Qwen low,hit_to_end_without_regression,full,0,3,0.0,percent,archive:g5_retention/summary.csv
G5,Qwen low,regressions,full,,,4,count,archive:g5_retention/summary.csv
G5,Qwen low,ever_exact,masked,4,6,66.7,percent,archive:g5_retention/summary.csv
G5,Qwen low,teh_at_10,masked,3,6,50.0,percent,archive:g5_retention/summary.csv
G5,Qwen low,ended_correct,masked,1,6,16.7,percent,archive:g5_retention/summary.csv
G5,Qwen low,post_hit_retention,masked,,,36.1,percent,archive:g5_retention/summary.csv
G5,Qwen low,first_regression_delay,masked,,,3,rounds,archive:g5_retention/summary.csv
G5,Qwen low,hit_to_end_without_regression,masked,0,4,0.0,percent,archive:g5_retention/summary.csv
G5,Qwen low,regressions,masked,,,20,count,archive:g5_retention/summary.csv
