protocol,phase,agent,metric,numerator,denominator,value,unit,source_artifact
sequential_addition,first_cause,NoOp,ever_exact,0,18,0.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,NoOp,teh_at_10,0,18,0.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,NoOp,ended_correct,0,18,0.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,NoOp,episodes_with_over_intervention,0,18,0.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,NoOp,post_hit_regressions,,,0,count,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,NoOp,ever_exact,0,18,0.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,NoOp,teh_at_10,0,18,0.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,NoOp,ended_correct,0,18,0.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,NoOp,episodes_with_over_intervention,0,18,0.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,NoOp,post_hit_regressions,,,0,count,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,Composite Rule,ever_exact,18,18,100.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,Composite Rule,teh_at_10,18,18,100.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,Composite Rule,ended_correct,18,18,100.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,Composite Rule,episodes_with_over_intervention,0,18,0.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,Composite Rule,post_hit_regressions,,,0,count,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,Composite Rule,ever_exact,18,18,100.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,Composite Rule,teh_at_10,18,18,100.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,Composite Rule,ended_correct,18,18,100.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,Composite Rule,episodes_with_over_intervention,0,18,0.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,Composite Rule,post_hit_regressions,,,0,count,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,Temporal Oracle,ever_exact,18,18,100.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,Temporal Oracle,teh_at_10,18,18,100.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,Temporal Oracle,ended_correct,18,18,100.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,Temporal Oracle,episodes_with_over_intervention,0,18,0.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,Temporal Oracle,post_hit_regressions,,,0,count,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,Temporal Oracle,ever_exact,18,18,100.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,Temporal Oracle,teh_at_10,18,18,100.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,Temporal Oracle,ended_correct,18,18,100.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,Temporal Oracle,episodes_with_over_intervention,0,18,0.0,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,Temporal Oracle,post_hit_regressions,,,0,count,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,Qwen low,ever_exact,13,18,72.2,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,Qwen low,teh_at_10,13,18,72.2,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,Qwen low,ended_correct,8,18,44.4,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,Qwen low,episodes_with_over_intervention,6,18,33.3,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,first_cause,Qwen low,post_hit_regressions,,,5,count,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,Qwen low,ever_exact,11,18,61.1,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,Qwen low,teh_at_10,5,18,27.8,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,Qwen low,ended_correct,6,18,33.3,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,Qwen low,episodes_with_over_intervention,16,18,88.9,percent,archive:sequential_injection/metrics_summary.csv
sequential_addition,joint_causes,Qwen low,post_hit_regressions,,,6,count,archive:sequential_injection/metrics_summary.csv
three_cause_lifecycle,all_intervals,Composite Rule,ever_exact,60,108,55.6,percent,archive:lifecycle_120/b3_composite_v2/noniid/lifecycle_3cause_qwen_low_t06/private/agent_decision_audit/agent_decision_summary.csv
